filename,canonical_smiles
BN-FLTPA.xyz,CC(C)c1cc2c3c(c1)c1cc(C(C)(C)C)cc4c1n3-c1c(ccc3c1B4c1cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n-3c14)[C@@]21c2ccccc2-c2cccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c21
BN-Ge.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(N2c4cccc[c]4[Ge]([c]4ccccc4)([c]4ccccc4)[c]4ccccc42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-N-BN.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc(C(C)(C)C)cc3c4c(-c5cccc6cccc(-c7c(C(C)(C)C)ccc8c7c7cc(C(C)(C)C)cc9c7n8-c7cccc8c7B9c7cc(C(C)(C)C)cc9c%10cc(C(C)(C)C)ccc%10n-8c79)c56)c(C(C)(C)C)ccc4n-2c13
BN-N-PCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2cccc4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)c24)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-N-TTz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2cccc4cccc(-c5ccc(-c6nc(-c7ccccc7)nc(-c7ccccc7)n6)cc5)c24)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-OICz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc3c4cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n(c3cc1O2)c54
BN-PhCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccccc2-n2c4ccccc4c4ccccc42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-Py.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c4cccc5ccc6cccc(c2c2c1B3c1cc(C(C)(C)C)cc3c7cc(C(C)(C)C)ccc7n-2c13)c6c54
BN-Q-Ph.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(N2CCN(c4ccccc4)c4ccccc42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-Si.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(N2c4ccccc4[Si](c4ccccc4)(c4ccccc4)c4ccccc42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-STO.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4c(=O)c5ccccc5[se]c4c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-tCzPh.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc(-c3cc4c5c(c3)-n3c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)cc(c63)B5c3cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c35)c1n2-c1ccccc1
BN-XTO.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4c(=O)c5ccccc5oc4c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
